Product_Name,Stock_Quantity,Unit_Price,Sales_Volume,Total_Inventory_Value,Revenue_90_Discount,Best_Seller
Corn Oil,17,$2.50,23,$42.50,$51.75,No
Grapes,13,$5.50,42,$71.50,$207.90,No
Digestive Biscuit,34,$4.00,78,$136.00,$280.80,No
Swiss Cheese,85,$8.00,68,$680.00,$489.60,No
Cabbage,12,$1.00,25,$12.00,$22.50,No
Oatmeal Biscuit,82,$5.00,21,$410.00,$94.50,No
Sourdough Bread,71,$4.00,58,$284.00,$208.80,No
Mozzarella Cheese,58,$7.00,62,$406.00,$390.60,No
Rice Flour,15,$2.00,90,$30.00,$162.00,No
Pineapple,68,$3.50,25,$238.00,$78.75,No
White Sugar,13,$2.00,38,$26.00,$68.40,No
Sesame Oil,45,$6.50,86,$292.50,$503.10,No
Egg (Goose),40,$2.45,76,$98.00,$167.58,No
Black Coffee,62,$15.50,34,$961.00,$474.30,No
Peanut Oil,79,$4.00,46,$316.00,$165.60,No
Peas,75,$3.00,96,$225.00,$259.20,No
Almond Flour,76,$9.50,24,$722.00,$205.20,No
Canola Oil,96,$2.30,61,$220.80,$126.27,No
Canola Oil,69,$2.30,79,$158.70,$163.53,No
Butter,48,$3.00,95,$144.00,$256.50,No
Cream,82,$2.40,48,$196.80,$103.68,No
Zucchini,43,$2.50,22,$107.50,$49.50,No
Green Coffee,90,$12.00,81,$1080.00,$874.80,No
Milk,13,$0.90,46,$11.70,$37.26,No
Cabbage,62,$1.00,34,$62.00,$30.60,No
Coconut Sugar,17,$5.00,76,$85.00,$342.00,No
Sesame Oil,100,$6.50,77,$650.00,$450.45,No
All-Purpose Flour,54,$1.75,77,$94.50,$121.28,No
Whipped Cream,98,$4.10,89,$401.80,$328.41,No
Herbal Tea,20,$30.50,46,$610.00,$1262.70,No
Haddock,43,$9.00,66,$387.00,$534.60,No
Green Coffee,29,$12.00,28,$348.00,$302.40,No
Grapes,37,$5.50,34,$203.50,$168.30,No
Cheddar Cheese,85,$8.90,57,$756.50,$456.57,No
Basmati Rice,26,$4.40,54,$114.40,$213.84,No
White Tea,91,$25.00,63,$2275.00,$1417.50,No
Ricotta Cheese,50,$6.20,88,$310.00,$491.04,No
Trout,98,$12.00,62,$1176.00,$669.60,No
Egg (Duck),37,$1.00,90,$37.00,$81.00,No
White Bread,78,$2.50,89,$195.00,$200.25,No
Cauliflower,48,$2.55,52,$122.40,$119.34,No
Arabica Coffee,74,$20.00,100,$1480.00,$1800.00,Yes
Pineapple,18,$3.50,88,$63.00,$277.20,No
Cauliflower,95,$2.48,92,$235.60,$205.34,No
Egg (Turkey),39,$2.50,26,$97.50,$58.50,No
Peas,48,$3.00,51,$144.00,$137.70,No
Strawberries,58,$5.90,52,$342.20,$276.12,No
Greek Yogurt,39,$3.00,47,$117.00,$126.90,No
Papaya,84,$4.40,54,$369.60,$213.84,No
Sardines,30,$6.00,56,$180.00,$302.40,No
Sesame Oil,14,$6.50,51,$91.00,$298.35,No
Powdered Sugar,21,$2.50,37,$52.50,$83.25,No
Jasmine Rice,17,$4.75,58,$80.75,$247.95,No
Cauliflower,34,$2.50,28,$85.00,$63.00,No
Jasmine Rice,56,$4.75,71,$266.00,$303.53,No
Plum,64,$3.90,60,$249.60,$210.60,No
Grapes,87,$5.50,22,$478.50,$108.90,No
Papaya,24,$4.50,24,$108.00,$97.20,No
Sushi Rice,47,$4.20,32,$197.40,$120.96,No
Digestive Biscuit,61,$4.00,73,$244.00,$262.80,No
Rye Bread,48,$2.80,27,$134.40,$68.04,No
Chocolate Biscuit,37,$5.00,35,$185.00,$157.50,No
Arabica Coffee,45,$20.00,36,$900.00,$648.00,No
Bread Flour,87,$1.50,58,$130.50,$78.30,No
Almond Flour,37,$9.50,38,$351.50,$324.90,No
Robusta Coffee,59,$10.30,90,$607.70,$834.30,No
Pomegranate,62,$6.00,45,$372.00,$243.00,No
Yogurt,63,$1.70,56,$107.10,$85.68,No
Grapes,38,$5.50,59,$209.00,$292.05,No
Mackerel,76,$7.50,31,$570.00,$209.25,No
Egg (Quail),34,$0.80,96,$27.20,$69.12,No
Eggplant,25,$3.00,57,$75.00,$153.90,No
Egg (Turkey),86,$2.50,34,$215.00,$76.50,No
Oatmeal Biscuit,41,$5.00,50,$205.00,$225.00,No
Cauliflower,77,$2.50,64,$192.50,$144.00,No
Egg (Duck),41,$1.00,30,$41.00,$27.00,No
Orange,44,$2.95,42,$129.80,$111.51,No
Avocado Oil,53,$10.00,22,$530.00,$198.00,No
Chocolate Biscuit,68,$5.00,70,$340.00,$315.00,No
Swiss Cheese,96,$8.00,71,$768.00,$511.20,No
Garlic,33,$7.00,46,$231.00,$289.80,No
Cauliflower,33,$2.50,90,$82.50,$202.50,No
Watermelon,90,$3.00,82,$270.00,$221.40,No
Brown Rice,31,$2.50,25,$77.50,$56.25,No
Asparagus,92,$5.00,62,$460.00,$279.00,No
Cauliflower,66,$2.50,85,$165.00,$191.25,No
Anchovies,83,$10.00,33,$830.00,$297.00,No
Mango,84,$5.00,30,$420.00,$135.00,No
Haddock,76,$9.00,52,$684.00,$421.20,No
Pomegranate,26,$6.00,82,$156.00,$442.80,No
Green Coffee,61,$12.50,95,$762.50,$1068.75,No
Evaporated Milk,15,$1.90,71,$28.50,$121.41,No
Apricot,73,$5.00,87,$365.00,$391.50,No
Whole Wheat Flour,41,$2.65,50,$108.65,$119.25,No
Avocado Oil,14,$10.00,65,$140.00,$585.00,No
Mango,99,$5.00,52,$495.00,$234.00,No
Asparagus,80,$5.00,26,$400.00,$117.00,No
Eggplant,49,$3.00,37,$147.00,$99.90,No
Grapes,25,$5.50,41,$137.50,$202.95,No
Sesame Oil,39,$6.50,54,$253.50,$315.90,No
Orange,94,$2.90,57,$272.60,$148.77,No
Sardines,11,$6.00,69,$66.00,$372.60,No
Peanut Oil,21,$4.00,49,$84.00,$176.40,No
Kiwi,38,$5.70,53,$216.60,$271.89,No
Palm Oil,58,$1.80,82,$104.40,$132.84,No
Plum,85,$3.85,58,$327.25,$200.97,No
Cauliflower,63,$2.50,62,$157.50,$139.50,No
Coconut Oil,54,$5.00,29,$270.00,$130.50,No
Cherry,30,$8.00,42,$240.00,$302.40,No
Cauliflower,57,$2.50,78,$142.50,$175.50,No
Vegetable Oil,18,$2.00,25,$36.00,$45.00,No
Tuna,16,$18.00,35,$288.00,$567.00,No
Buttermilk,39,$2.50,46,$97.50,$103.50,No
Lemon,59,$2.45,30,$144.55,$66.15,No
Salmon,79,$15.00,42,$1185.00,$567.00,No
Egg (Quail),78,$0.80,49,$62.40,$35.28,No
Sushi Rice,22,$4.25,64,$93.50,$244.80,No
Egg (Chicken),10,$0.20,100,$2.00,$18.00,Yes
Arborio Rice,34,$4.50,42,$153.00,$170.10,No
Heavy Cream,74,$4.00,65,$296.00,$234.00,No
Sushi Rice,10,$4.30,29,$43.00,$112.23,No
Basmati Rice,11,$4.50,29,$49.50,$117.45,No
Grapes,99,$5.50,59,$544.50,$292.05,No
Swiss Cheese,64,$8.00,53,$512.00,$381.60,No
Pear,58,$4.45,62,$258.10,$248.31,No
Corn Oil,26,$2.50,45,$65.00,$101.25,No
Raw Sugar,72,$1.50,39,$108.00,$52.65,No
Mozzarella Cheese,36,$7.10,27,$255.60,$172.53,No
Mushrooms,24,$6.00,85,$144.00,$459.00,No
Onion,16,$2.00,22,$32.00,$39.60,No
Banana,39,$13.99,58,$545.61,$730.28,No
Zucchini,89,$2.50,27,$222.50,$60.75,No
Cherry,57,$8.00,44,$456.00,$316.80,No
Herbal Tea,61,$30.00,90,$1830.00,$2430.00,No
Short Grain Rice,56,$3.00,93,$168.00,$251.10,No
Cream,21,$2.35,87,$49.35,$184.01,No
Grapes,59,$5.50,74,$324.50,$366.30,No
Green Coffee,20,$12.00,38,$240.00,$410.40,No
Rye Bread,99,$3.00,49,$297.00,$132.30,No
Green Tea,24,$8.00,49,$192.00,$352.80,No
Sushi Rice,78,$4.35,69,$339.30,$270.13,No
Egg (Duck),52,$1.00,77,$52.00,$69.30,No
Spinach,45,$2.45,25,$110.25,$55.13,No
Apricot,89,$5.00,49,$445.00,$220.50,No
Kiwi,63,$5.80,20,$365.40,$104.40,No
Black Rice,49,$6.25,75,$306.25,$421.88,No
Green Tea,26,$8.00,92,$208.00,$662.40,No
Egg (Quail),93,$0.80,30,$74.40,$21.60,No
Papaya,81,$4.30,23,$348.30,$89.01,No
Heavy Cream,74,$4.00,99,$296.00,$356.40,No
Black Tea,19,$5.00,72,$95.00,$324.00,No
Short Grain Rice,64,$3.00,48,$192.00,$129.60,No
Bell Pepper,49,$4.50,52,$220.50,$210.60,No
Parmesan Cheese,99,$12.00,69,$1188.00,$745.20,No
Buttermilk,60,$2.45,42,$147.00,$92.61,No
Cabbage,90,$0.90,52,$81.00,$42.12,No
Haddock,79,$9.00,45,$711.00,$364.50,No
Egg (Chicken),22,$0.20,33,$4.40,$5.94,No
Brown Rice,51,$2.50,53,$127.50,$119.25,No
Arabica Coffee,65,$20.00,28,$1300.00,$504.00,No
Whipped Cream,55,$4.00,69,$220.00,$248.40,No
White Rice,18,$1.80,64,$32.40,$103.68,No
Parmesan Cheese,37,$12.00,39,$444.00,$421.20,No
Salmon,88,$15.00,96,$1320.00,$1296.00,No
Pineapple,20,$3.50,80,$70.00,$252.00,No
Bread Flour,99,$1.50,80,$148.50,$108.00,No
Asparagus,46,$4.80,59,$220.80,$254.88,No
Wild Rice,19,$10.00,62,$190.00,$558.00,No
Yogurt,12,$1.75,22,$21.00,$34.65,No
Buttermilk,69,$2.55,29,$175.95,$66.55,No
Egg (Duck),63,$1.00,23,$63.00,$20.70,No
Asparagus,78,$4.70,25,$366.60,$105.75,No
White Bread,72,$2.50,87,$180.00,$195.75,No
Wild Rice,58,$10.00,75,$580.00,$675.00,No
Egg (Goose),88,$2.50,54,$220.00,$121.50,No
White Rice,54,$1.80,94,$97.20,$152.28,No
Powdered Sugar,64,$2.50,97,$160.00,$218.25,No
Milk,12,$1.00,31,$12.00,$27.90,No
Mango,61,$5.20,74,$317.20,$346.32,No
Oatmeal Biscuit,28,$5.00,28,$140.00,$126.00,No
Spinach,23,$2.50,95,$57.50,$213.75,No
Blueberries,87,$10.00,55,$870.00,$495.00,No
Robusta Coffee,59,$10.00,48,$590.00,$432.00,No
Watermelon,13,$3.00,100,$39.00,$270.00,Yes
Pomegranate,81,$6.00,94,$486.00,$507.60,No
White Bread,61,$2.50,51,$152.50,$114.75,No
Carrot,80,$1.50,81,$120.00,$109.35,No
Brown Rice,39,$2.50,77,$97.50,$173.25,No
Cabbage,69,$66.55,36,$4591.95,$2156.22,No
Egg (Goose),60,$2.50,77,$150.00,$173.25,No
Sour Cream,22,$4.10,45,$90.20,$166.05,No
Almond Flour,79,$9.50,83,$750.50,$709.65,No
Broccoli,47,$4.00,76,$188.00,$273.60,No
Jasmine Rice,20,$4.75,78,$95.00,$333.45,No
Gouda Cheese,41,$7.00,86,$287.00,$541.80,No
Tilapia,46,$7.00,62,$322.00,$390.60,No
Palm Oil,67,$1.80,78,$120.60,$126.36,No
Arborio Rice,51,$4.50,73,$229.50,$295.65,No
White Sugar,42,$2.00,80,$84.00,$144.00,No
Sesame Oil,85,$6.50,78,$552.50,$456.30,No
Sunflower Oil,23,$2.50,91,$57.50,$204.75,No
Bell Pepper,84,$4.50,46,$378.00,$186.30,No
Greek Yogurt,28,$42.58,48,$1192.24,$1839.46,No
White Bread,62,$2.50,42,$155.00,$94.50,No
Egg (Goose),65,$2.50,66,$162.50,$148.50,No
Lime,18,$2.00,54,$36.00,$97.20,No
Egg (Chicken),70,$0.20,62,$14.00,$11.16,No
Vegetable Oil,23,$2.00,63,$46.00,$113.40,No
Jasmine Rice,26,$4.75,75,$123.50,$320.62,No
Robusta Coffee,20,$10.00,72,$200.00,$648.00,No
Mozzarella Cheese,55,$7.20,48,$396.00,$311.04,No
Whole Wheat Flour,82,$2.75,26,$225.50,$64.35,No
Salmon,73,$15.00,89,$1095.00,$1201.50,No
White Tea,81,$25.00,74,$2025.00,$1665.00,No
Onion,20,$2.00,51,$40.00,$91.80,No
Black Coffee,78,$15.00,54,$1170.00,$729.00,No
Butter Biscuit,84,$6.00,51,$504.00,$275.40,No
Corn Oil,32,$2.50,52,$80.00,$117.00,No
Coconut Oil,90,$5.00,55,$450.00,$247.50,No
Evaporated Milk,70,$2.00,24,$140.00,$43.20,No
Bell Pepper,90,$4.50,81,$405.00,$328.05,No
Lettuce,100,$2.00,26,$200.00,$46.80,No
Brown Rice,89,$2.50,64,$222.50,$144.00,No
Whole Wheat Flour,38,$2.70,34,$102.60,$82.62,No
Rye Bread,61,$3.00,71,$183.00,$191.70,No
Orange,75,$3.00,96,$225.00,$259.20,No
Multigrain Bread,87,$3.20,73,$278.40,$210.24,No
Bread Flour,71,$1.50,34,$106.50,$45.90,No
Haddock,98,$9.00,53,$882.00,$429.30,No
Green Beans,19,$2.00,51,$38.00,$91.80,No
Coconut,85,$5.00,61,$425.00,$274.50,No
Apple,71,$3.50,87,$248.50,$274.05,No
Brown Rice,44,$2.50,67,$110.00,$150.75,No
Rice Flour,25,$2.00,24,$50.00,$43.20,No
Peanut Oil,24,$4.00,98,$96.00,$352.80,No
Anchovies,44,$10.00,80,$440.00,$720.00,No
Powdered Sugar,63,$2.50,40,$157.50,$90.00,No
Palm Oil,69,$1.80,63,$124.20,$102.06,No
Tuna,88,$18.00,28,$1584.00,$453.60,No
Robusta Coffee,74,$10.00,37,$740.00,$333.00,No
Bell Pepper,98,$4.50,86,$441.00,$348.30,No
Egg (Chicken),22,$0.20,88,$4.40,$15.84,No
Apricot,55,$5.00,23,$275.00,$103.50,No
Ricotta Cheese,96,$6.10,94,$585.60,$516.06,No
Feta Cheese,91,$7.00,32,$637.00,$201.60,No
Digestive Biscuit,40,$4.00,28,$160.00,$100.80,No
Salmon,52,$15.00,43,$780.00,$580.50,No
Lettuce,22,$2.00,62,$44.00,$111.60,No
Black Rice,98,$6.35,70,$622.30,$400.05,No
Whole Wheat Flour,59,$2.75,32,$162.25,$79.20,No
Chocolate Biscuit,99,$5.00,65,$495.00,$292.50,No
Black Tea,18,$5.30,65,$95.40,$310.05,No
Watermelon,58,$3.00,71,$174.00,$191.70,No
Black Rice,30,$6.30,61,$189.00,$345.87,No
Papaya,97,$4.50,53,$436.50,$214.65,No
Egg (Goose),50,$2.45,78,$122.50,$171.99,No
Cheddar Cheese,70,$9.00,63,$630.00,$510.30,No
Blueberries,40,$10.00,76,$400.00,$684.00,No
Corn Oil,75,$2.50,100,$187.50,$225.00,Yes
Strawberries,26,$6.00,94,$156.00,$507.60,No
Arabica Coffee,13,$20.00,67,$260.00,$1206.00,No
Plum,11,$4.00,99,$44.00,$356.40,No
Salmon,98,$15.00,21,$1470.00,$283.50,No
Broccoli,35,$4.00,90,$140.00,$324.00,No
Mackerel,45,$7.50,35,$337.50,$236.25,No
Kale,47,$4.00,26,$188.00,$93.60,No
Sesame Oil,89,$6.50,39,$578.50,$228.15,No
Black Coffee,33,$15.00,96,$495.00,$1296.00,No
Apricot,90,$5.00,76,$450.00,$342.00,No
Jasmine Rice,44,$4.75,63,$209.00,$269.32,No
Wild Rice,41,$9.75,93,$399.75,$816.08,No
Potato,72,$1.20,96,$86.40,$103.68,No
Egg (Goose),72,$2.40,36,$172.80,$77.76,No
Black Coffee,40,$15.00,33,$600.00,$445.50,No
Whole Wheat Bread,36,$3.50,67,$126.00,$211.05,No
Vegetable Oil,51,$2.00,24,$102.00,$43.20,No
Black Coffee,87,$14.90,90,$1296.30,$1206.90,No
Pear,79,$4.50,33,$355.50,$133.65,No
Tilapia,14,$6.80,64,$95.20,$391.68,No
Orange,81,$3.00,86,$243.00,$232.20,No
Lime,75,$2.00,32,$150.00,$57.60,No
Gouda Cheese,48,$7.00,59,$336.00,$371.70,No
Onion,50,$2.00,40,$100.00,$72.00,No
Haddock,11,$9.00,86,$99.00,$696.60,No
Almond Flour,74,$9.50,24,$703.00,$205.20,No
Tomato,11,$2.50,93,$27.50,$209.25,No
Heavy Cream,85,$4.00,95,$340.00,$342.00,No
Cauliflower,57,$2.50,87,$142.50,$195.75,No
Lime,75,$1.90,63,$142.50,$107.73,No
Egg (Turkey),63,$2.35,78,$148.05,$164.97,No
White Tea,35,$25.25,53,$883.75,$1204.42,No
Cabbage,24,$1.00,55,$24.00,$49.50,No
Jasmine Rice,53,$4.75,100,$251.75,$427.50,Yes
Butter Biscuit,74,$6.00,51,$444.00,$275.40,No
Brown Rice,79,$2.50,43,$197.50,$96.75,No
Bread Flour,54,$1.50,41,$81.00,$55.35,No
Palm Oil,44,$1.80,46,$79.20,$74.52,No
Almond Flour,77,$9.50,27,$731.50,$230.85,No
Apricot,42,$5.00,86,$210.00,$387.00,No
Sweet Potato,44,$2.00,89,$88.00,$160.20,No
Sour Cream,81,$4.00,68,$324.00,$244.80,No
Black Rice,92,$6.25,38,$575.00,$213.75,No
Salmon,78,$15.00,47,$1170.00,$634.50,No
Heavy Cream,85,$4.20,65,$357.00,$245.70,No
Pomegranate,65,$6.00,80,$390.00,$432.00,No
Olive Oil,36,$6.00,74,$216.00,$399.60,No
Potato,26,$1.20,84,$31.20,$90.72,No
Sunflower Oil,39,$2.50,84,$97.50,$189.00,No
White Sugar,39,$2.00,73,$78.00,$131.40,No
Cabbage,83,$1.00,35,$83.00,$31.50,No
Cucumber,28,$1.80,33,$50.40,$53.46,No
Tuna,85,$18.00,92,$1530.00,$1490.40,No
Lime,76,$2.00,77,$152.00,$138.60,No
Tomato,100,$2.50,84,$250.00,$189.00,No
Pomegranate,17,$6.00,37,$102.00,$199.80,No
Anchovies,51,$10.00,80,$510.00,$720.00,No
Grapes,54,$5.50,81,$297.00,$400.95,No
Sourdough Bread,94,$4.00,47,$376.00,$169.20,No
Asparagus,34,$5.00,41,$170.00,$184.50,No
Herbal Tea,27,$30.00,34,$810.00,$918.00,No
All-Purpose Flour,50,$1.75,87,$87.50,$137.03,No
Almond Flour,85,$9.50,26,$807.50,$222.30,No
Rice Flour,24,$2.00,98,$48.00,$176.40,No
Halibut,82,$20.00,66,$1640.00,$1188.00,No
Apple,17,$3.50,36,$59.50,$113.40,No
Canola Oil,25,$2.30,72,$57.50,$149.04,No
Tilapia,56,$7.00,65,$392.00,$409.50,No
Evaporated Milk,72,$2.00,52,$144.00,$93.60,No
Mushrooms,65,$6.30,54,$409.50,$306.18,No
Grapes,30,$5.50,63,$165.00,$311.85,No
Onion,39,$2.00,25,$78.00,$45.00,No
Pineapple,14,$3.50,74,$49.00,$233.10,No
Carrot,74,$1.50,91,$111.00,$122.85,No
Parmesan Cheese,63,$11.90,37,$749.70,$396.27,No
Peach,47,$4.00,36,$188.00,$129.60,No
Egg (Turkey),42,$2.50,61,$105.00,$137.25,No
Tomato,32,$2.50,80,$80.00,$180.00,No
Lettuce,88,$2.00,25,$176.00,$45.00,No
Yogurt,80,$1.75,41,$140.00,$64.58,No
Orange,36,$3.00,25,$108.00,$67.50,No
Bread Flour,11,$1.50,77,$16.50,$103.95,No
Peach,40,$4.00,92,$160.00,$331.20,No
Bread Flour,63,$1.50,55,$94.50,$74.25,No
Raw Sugar,90,$1.50,80,$135.00,$108.00,No
Multigrain Bread,47,$3.25,30,$152.75,$87.75,No
Digestive Biscuit,29,$4.00,80,$116.00,$288.00,No
Peach,94,$4.00,24,$376.00,$86.40,No
Mango,32,$4.90,84,$156.80,$370.44,No
Plum,40,$4.00,45,$160.00,$162.00,No
Egg (Goose),50,$2.50,76,$125.00,$171.00,No
Cod,72,$8.00,54,$576.00,$388.80,No
Pomegranate,22,$6.00,41,$132.00,$221.40,No
Chocolate Biscuit,23,$5.00,97,$115.00,$436.50,No
Halibut,35,$20.00,74,$700.00,$1332.00,No
Cucumber,12,$1.75,45,$21.00,$70.88,No
Cheddar Cheese,86,$9.00,100,$774.00,$810.00,Yes
Mackerel,91,$7.50,90,$682.50,$607.50,No
Evaporated Milk,23,$2.00,68,$46.00,$122.40,No
Onion,98,$2.00,46,$196.00,$82.80,No
Cherry,29,$8.00,74,$232.00,$532.80,No
Coconut,32,$5.00,38,$160.00,$171.00,No
Pear,84,$4.50,64,$378.00,$259.20,No
Yogurt,86,$1.75,83,$150.50,$130.72,No
Black Rice,11,$6.20,49,$68.20,$273.42,No
Whole Wheat Flour,60,$2.75,51,$165.00,$126.23,No
Whole Wheat Bread,58,$3.50,98,$203.00,$308.70,No
Ricotta Cheese,64,$6.00,55,$384.00,$297.00,No
Canola Oil,19,$2.30,33,$43.70,$68.31,No
Cherry,43,$8.00,27,$344.00,$194.40,No
Peanut Oil,38,$4.00,41,$152.00,$147.60,No
Buttermilk,70,$2.50,47,$175.00,$105.75,No
Asparagus,18,$5.00,58,$90.00,$261.00,No
Brown Rice,46,$2.50,48,$115.00,$108.00,No
Arabica Coffee,78,$20.50,62,$1599.00,$1143.90,No
Canola Oil,53,$2.30,83,$121.90,$171.81,No
Haddock,67,$9.00,76,$603.00,$615.60,No
Egg (Chicken),36,$0.20,68,$7.20,$12.24,No
Whole Wheat Flour,39,$2.75,92,$107.25,$227.70,No
Sweet Potato,95,$2.00,61,$190.00,$109.80,No
Almond Flour,12,$9.50,56,$114.00,$478.80,No
Wild Rice,98,$10.00,31,$980.00,$279.00,No
Jasmine Rice,50,$4.75,52,$237.50,$222.30,No
Zucchini,98,$2.50,48,$245.00,$108.00,No
Corn Oil,28,$2.50,32,$70.00,$72.00,No
Cucumber,67,$1.80,81,$120.60,$131.22,No
Onion,20,$2.00,23,$40.00,$41.40,No
Trout,67,$11.60,66,$777.20,$689.04,No
Egg (Quail),94,$0.80,100,$75.20,$72.00,Yes
Black Tea,45,$5.00,90,$225.00,$405.00,No
Anchovies,86,$10.00,37,$860.00,$333.00,No
Wild Rice,72,$9.75,51,$702.00,$447.53,No
Green Beans,31,$2.10,55,$65.10,$103.95,No
Butter Biscuit,12,$6.00,72,$72.00,$388.80,No
Gouda Cheese,71,$7.00,77,$497.00,$485.10,No
Anchovies,64,$10.00,49,$640.00,$441.00,No
Coconut Oil,89,$5.00,91,$445.00,$409.50,No
Sesame Oil,50,$6.50,53,$325.00,$310.05,No
Mango,53,$5.00,41,$265.00,$184.50,No
Haddock,19,$9.00,29,$171.00,$234.90,No
Broccoli,89,$4.00,93,$356.00,$334.80,No
Cod,96,$8.00,97,$768.00,$698.40,No
Parmesan Cheese,52,$12.00,31,$624.00,$334.80,No
Sesame Oil,97,$6.50,51,$630.50,$298.35,No
Halibut,88,$20.00,92,$1760.00,$1656.00,No
Jasmine Rice,33,$4.75,93,$156.75,$397.57,No
Jasmine Rice,98,$4.75,51,$465.50,$218.03,No
Peach,45,$4.00,84,$180.00,$302.40,No
White Rice,80,$1.80,46,$144.00,$74.52,No
Halibut,68,$20.00,75,$1360.00,$1350.00,No
Apricot,90,$5.00,34,$450.00,$153.00,No
Trout,89,$12.00,96,$1068.00,$1036.80,No
Cucumber,38,$1.80,89,$68.40,$144.18,No
Green Beans,99,$2.10,46,$207.90,$86.94,No
Powdered Sugar,66,$2.40,30,$158.40,$64.80,No
Pomegranate,66,$6.00,85,$396.00,$459.00,No
Bread Flour,64,$1.50,33,$96.00,$44.55,No
Black Rice,18,$6.00,85,$108.00,$459.00,No
Whole Wheat Flour,86,$2.75,52,$236.50,$128.70,No
Black Tea,35,$4.70,39,$164.50,$164.97,No
Green Beans,26,$2.00,36,$52.00,$64.80,No
Parmesan Cheese,80,$12.00,100,$960.00,$1080.00,Yes
Zucchini,63,$2.50,35,$157.50,$78.75,No
Vanilla Biscuit,89,$5.50,83,$489.50,$410.85,No
Sweet Potato,80,$2.00,98,$160.00,$176.40,No
Vegetable Oil,41,$2.00,55,$82.00,$99.00,No
Chocolate Biscuit,53,$5.00,82,$265.00,$369.00,No
Haddock,61,$9.00,34,$549.00,$275.40,No
Egg (Duck),70,$1.00,95,$70.00,$85.50,No
Mango,73,$5.00,50,$365.00,$225.00,No
Kale,60,$4.00,21,$240.00,$75.60,No
Pomegranate,88,$6.00,72,$528.00,$388.80,No
Cauliflower,95,$2.50,49,$237.50,$110.25,No
Powdered Sugar,47,$2.50,22,$117.50,$49.50,No
Mozzarella Cheese,24,$7.00,58,$168.00,$365.40,No
Anchovies,93,$10.00,81,$930.00,$729.00,No
Sunflower Oil,80,$2.50,98,$200.00,$220.50,No
Apple,77,$3.50,63,$269.50,$198.45,No
Green Beans,42,$2.00,39,$84.00,$70.20,No
Egg (Turkey),92,$2.50,78,$230.00,$175.50,No
Mushrooms,81,$6.25,92,$506.25,$517.50,No
Jasmine Rice,46,$4.75,36,$218.50,$153.90,No
Brown Rice,44,$2.50,44,$110.00,$99.00,No
Multigrain Bread,38,$3.50,45,$133.00,$141.75,No
Evaporated Milk,64,$2.00,74,$128.00,$133.20,No
Long Grain Rice,39,$1.45,20,$56.55,$26.10,No
White Bread,42,$2.50,67,$105.00,$150.75,No
White Sugar,29,$2.00,58,$58.00,$104.40,No
Cucumber,60,$1.80,74,$108.00,$119.88,No
Parmesan Cheese,65,$12.00,69,$780.00,$745.20,No
Bell Pepper,89,$4.50,38,$400.50,$153.90,No
Corn Oil,50,$2.50,28,$125.00,$63.00,No
Bell Pepper,94,$4.50,44,$423.00,$178.20,No
Canola Oil,97,$2.30,82,$223.10,$169.74,No
Digestive Biscuit,72,$4.00,85,$288.00,$306.00,No
Cream,62,$2.50,41,$155.00,$92.25,No
Apple,44,$3.50,41,$154.00,$129.15,No
Peanut Oil,21,$4.00,79,$84.00,$284.40,No
Coconut Sugar,91,$5.00,48,$455.00,$216.00,No
Tuna,87,$18.00,22,$1566.00,$356.40,No
Spinach,61,$2.52,31,$153.72,$70.31,No
Carrot,61,$1.50,26,$91.50,$35.10,No
Sweet Potato,49,$2.00,97,$98.00,$174.60,No
Lemon,87,$2.50,61,$217.50,$137.25,No
Multigrain Bread,93,$3.25,56,$302.25,$163.80,No
Basmati Rice,55,$4.45,37,$244.75,$148.19,No
Sour Cream,29,$4.00,23,$116.00,$82.80,No
Egg (Chicken),63,$0.20,67,$12.60,$12.06,No
Potato,42,$1.20,43,$50.40,$46.44,No
Onion,74,$2.00,97,$148.00,$174.60,No
Short Grain Rice,22,$3.00,68,$66.00,$183.60,No
Egg (Chicken),83,$0.20,94,$16.60,$16.92,No
Wild Rice,32,$10.00,69,$320.00,$621.00,No
Apple,84,$3.50,66,$294.00,$207.90,No
Plum,22,$4.00,70,$88.00,$252.00,No
Peas,100,$3.00,86,$300.00,$232.20,No
Cheddar Cheese,36,$9.00,30,$324.00,$243.00,No
Halibut,14,$20.00,71,$280.00,$1278.00,No
White Sugar,38,$2.00,52,$76.00,$93.60,No
Eggplant,97,$3.00,22,$291.00,$59.40,No
Green Tea,64,$8.00,25,$512.00,$180.00,No
Lime,14,$1.90,100,$26.60,$171.00,Yes
Avocado Oil,24,$10.00,99,$240.00,$891.00,No
Tilapia,100,$7.00,85,$700.00,$535.50,No
Jasmine Rice,62,$4.75,31,$294.50,$132.53,No
Basmati Rice,71,$4.50,60,$319.50,$243.00,No
Parmesan Cheese,38,$12.00,35,$456.00,$378.00,No
Powdered Sugar,88,$2.40,95,$211.20,$205.20,No
Sourdough Bread,40,$4.50,54,$180.00,$218.70,No
Spinach,88,$2.50,58,$220.00,$130.50,No
Cheddar Cheese,60,$9.00,95,$540.00,$769.50,No
Cabbage,94,$0.90,98,$84.60,$79.38,No
Avocado Oil,30,$10.00,22,$300.00,$198.00,No
Papaya,19,$4.50,91,$85.50,$368.55,No
